Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-05-22 08:15:14,false,"McKinney Running - Z2 HR training","3.26","495","00:45:52","129","145","--","143","169","14:03","11:35","92","105","0.80","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","03:54.52","4","0.0","--","--","--","--","--","--","--","--","00:45:30","00:45:52","720","772"
Running,2022-05-20 10:01:41,false,"McKinney Running - Z2 and Vitamin D","2.08","308","00:32:31","127","147","--","133","215","15:38","11:47","75","82","0.78","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","02:00.17","3","0.0","--","--","--","--","--","--","--","--","00:32:30","00:32:31","716","766"
Cycling,2022-05-15 06:58:25,false,"Fort Worth Cycling","49.66","2,258","02:57:01","153","172","--","--","--","16.8","35.7","1,522","1,640","0.00","0.0","0.0","0","--","75","112","--","--","0.0","--","0","0","0.0","0.0","9980","0","0","0","--","0:00","64.4","0:00","No","02:57:00.58","1","82.4","--","--","--","--","--","--","--","--","02:56:41","03:07:55","509","862"
Cycling,2022-05-15 06:50:54,false,"Fort Worth Cycling","49.82","1,954","02:57:02","153","172","--","--","--","16.9","35.8","1,329","1,450","0.00","0.0","0.0","0","--","70","112","--","--","0.0","--","0","0","0.0","0.0","10538","0","0","0","--","0:00","0.0","0:00","No","02:57:01.66","1","0.0","--","--","--","--","--","--","--","--","02:56:45","03:14:37","516","865"
Cycling,2022-05-14 07:01:22,false,"Frisco Cycling","103.44","4,285","06:35:04","162","181","--","--","--","15.7","33.4","2,175","2,211","0.00","0.0","0.0","0","--","65","122","--","--","0.0","--","0","0","0.0","0.0","20528","0","0","0","--","0:00","0.0","0:00","No","06:35:04.11","1","0.0","--","--","--","--","--","--","--","--","06:34:50","07:27:58","493","719"
Cycling,2022-05-14 05:46:40,false,"McKinney Cycling","116.82","5,670","07:25:24","160","181","--","--","--","15.7","33.5","2,644","2,766","0.00","0.0","0.0","0","--","69","123","--","--","0.0","--","0","0","0.0","0.0","19457","0","0","0","--","0:00","62.6","0:00","No","07:25:23.89","1","98.6","--","--","--","--","--","--","--","--","07:24:05","08:42:36","493","799"
Walking,2022-05-13 13:23:00,false,"Walking","0.25","60","00:11:26","92","103","--","53","115","45:23","18:55","7","--","0.67","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","11:25.58","1","0.0","--","--","--","--","--","--","--","--","00:06:49","00:11:26","677","691"
Yoga,2022-05-12 21:38:22,false,"Yoga","--","38","00:24:12","62","72","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","--","1","0:00","0.0","0:00","No","24:11.99","1","0.0","19","12","24","-8","23","15","17","25","00:24:12","00:24:12","--","--"
Breathwork,2022-05-12 20:22:16,false,"Relax and Focus","--","--","00:15:38","69","80","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:03.00","253","0.0","4","2","5","12","20","32","26","40","00:00:00","00:15:38","--","--"
Breathwork,2022-05-11 21:23:51,false,"Tranquility","--","--","00:11:03","75","90","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:03.00","106","0.0","5","4","15","17","16","33","37","65","00:00:00","00:11:03","--","--"
Cycling,2022-05-11 16:22:00,false,"McKinney Cycling","15.79","782","00:55:24","154","171","--","--","--","17.1","26.9","351","354","0.00","0.0","0.0","0","--","65","124","--","--","0.0","--","0","0","0.0","0.0","2777","0","0","0","--","0:00","77.0","0:00","No","55:24.30","1","91.4","--","--","--","--","--","--","--","--","00:55:13","01:00:54","743","859"
Cycling,2022-05-11 14:52:26,false,"McKinney Cycling","0.00","--","00:00:13.8","78","80","--","--","--","0.1","1.6","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:13.82","1","0.0","--","--","--","--","--","--","--","--","00:00:02","00:00:51.8","742","742"
Breathwork,2022-05-11 14:50:29,false,"Tranquility","--","--","00:01:37.2","77","78","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:03.00","15","0.0","4","4","4","3","62","65","60","65","00:00:00","00:01:37.2","--","--"
Breathwork,2022-05-10 20:15:18,false,"Tranquility","--","--","00:11:03","70","80","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:03.00","106","0.0","4","3","4","33","0","33","25","45","00:00:00","00:11:03","--","--"
Cycling,2022-05-10 13:31:30,false,"McKinney - Zone 2 Aerobic","15.76","743","01:06:58","135","157","--","--","--","14.1","27.3","325","305","0.00","0.0","0.0","0","--","62","92","--","--","0.0","--","0","0","0.0","0.0","2972","0","0","0","--","0:00","0.0","0:00","No","06:57.55","2","0.0","--","--","--","--","--","--","--","--","01:01:59","01:07:28","671","770"
Cycling,2022-05-10 13:31:26,false,"McKinney - Zone 2 Aerobic","14.23","672","01:00:00","135","157","--","--","--","14.2","27.1","374","374","0.00","0.0","0.0","0","--","69","92","--","--","0.0","--","0","0","0.0","0.0","2670","0","0","0","--","0:00","77.0","0:00","No","01:00:00.00","1","91.4","--","--","--","--","--","--","--","--","00:55:00","01:00:00","562","669"
Walking,2022-05-09 10:53:31,false,"McKinney Walking","3.18","429","00:56:18","97","127","--","110","234","17:41","10:34","98","95","0.83","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","04:09.59","4","0.0","--","--","--","--","--","--","--","--","00:55:50","00:56:28","726","764"
Walking,2022-05-08 09:45:39,false,"McKinney Walking","1.97","291","01:02:03","84","96","--","55","160","31:29","21:08","33","36","0.94","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","29:08.40","2","0.0","--","--","--","--","--","--","--","--","00:52:17","01:02:03","734","766"
Cycling,2022-05-06 11:40:39,false,"McKinney Cycling","38.44","1,866","02:23:49","150","171","--","--","--","16.0","28.9","1,112","1,047","0.00","0.0","0.0","0","--","70","100","--","--","0.0","--","0","0","0.0","0.0","8037","0","0","0","--","0:00","68.0","0:00","No","02:23:49.22","1","86.0","--","--","--","--","--","--","--","--","02:23:04","02:33:21","673","873"
Cycling,2022-05-06 11:40:38,false,"McKinney - Zone 2 Aerobic","38.67","1,915","02:27:04","150","171","--","--","--","15.8","28.8","948","876","0.00","0.0","0.0","0","--","67","99","--","--","0.0","--","0","0","0.0","0.0","8269","0","0","0","--","0:00","0.0","0:00","No","06:04.11","9","0.0","--","--","--","--","--","--","--","--","02:23:48","02:31:30","652","845"
Cycling,2022-05-03 18:32:45,false,"Frisco Cycling","28.61","1,187","01:39:10","148","175","--","--","--","17.3","28.8","397","384","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","55.4","0:00","No","01:39:09.87","1","64.4","--","--","--","--","--","--","--","--","01:38:26","01:58:54","500","611"
Cycling,2022-05-01 07:32:46,false,"Frisco - Zone 2 Aerobic","34.21","1,612","02:06:41","147","175","--","--","--","16.2","32.7","719","787","0.00","0.0","0.0","0","--","71","111","--","--","0.0","--","0","0","0.0","0.0","6795","0","0","0","--","0:00","0.0","0:00","No","06:41.08","8","0.0","--","--","--","--","--","--","--","--","01:51:08","02:16:37","467","766"
Running,2022-04-30 08:55:47,false,"McKinney Running - Z2 training ","2.36","355","00:35:19","130","152","--","137","172","14:58","12:11","66","75","0.79","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","06:53.87","3","0.0","--","--","--","--","--","--","--","--","00:34:20","00:35:19","711","760"
Cycling,2022-04-26 18:31:36,false,"Frisco - Zone 2 Aerobic","30.46","1,391","01:48:42","158","183","--","--","--","16.8","31.3","407","381","0.00","0.0","0.0","0","--","70","131","--","--","0.0","--","0","0","0.0","0.0","5729","0","0","0","--","0:00","0.0","0:00","No","02:36.20","7","0.0","--","--","--","--","--","--","--","--","01:36:21","01:53:09","574","680"
Cycling,2022-04-24 08:59:19,false,"McKinney - Zone 2 Aerobic","30.15","1,331","02:00:00","152","176","--","--","--","15.1","30.1","820","863","0.00","0.0","0.0","0","--","71","105","--","--","0.0","--","0","0","0.0","0.0","6538","0","0","0","--","0:00","69.8","0:00","No","01:00:00.00","2","75.2","--","--","--","--","--","--","--","--","01:50:42","02:00:01","589","811"
Cycling,2022-04-21 15:58:53,false,"McKinney - Zone 2 Aerobic","15.03","633","01:00:00","144","165","--","--","--","15.0","26.1","400","427","0.00","0.0","0.0","0","--","68","92","--","--","0.0","--","0","0","0.0","0.0","2874","0","0","0","--","0:00","77.0","0:00","No","01:00:00.00","1","87.8","--","--","--","--","--","--","--","--","00:55:41","01:00:01","667","798"
Cycling,2022-04-20 14:46:35,false,"McKinney - Short Zone 5 Intervals","12.29","447","00:54:27","130","159","--","--","--","13.5","40.6","49","39","0.00","0.0","0.0","0","--","71","118","--","--","0.0","--","0","0","0.0","0.0","3623","0","0","0","--","0:00","71.6","0:00","No","00:03.28","14","73.4","--","--","--","--","--","--","--","--","00:52:08","00:55:17","735","755"
Running,2022-04-16 09:00:01,false,"McKinney - 5K Race","3.11","467","00:31:03","158","173","--","164","232","10:00","8:38","49","52","0.98","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:15.50","4","0.0","--","--","--","--","--","--","--","--","00:30:56","00:40:33","712","759"
Walking,2022-04-16 08:48:07,false,"McKinney Walking","0.54","73","00:10:09","97","104","--","112","119","18:45","17:25","--","7","0.77","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","10:08.93","1","0.0","--","--","--","--","--","--","--","--","00:10:09","00:10:09","738","748"
Cycling,2022-04-14 12:58:08,false,"McKinney Cycling","19.99","851","01:09:54","155","169","--","--","--","17.2","27.9","525","492","0.00","0.0","0.0","0","--","72","94","--","--","0.0","--","0","0","0.0","0.0","3809","0","0","0","--","0:00","71.6","0:00","No","01:09:53.86","1","80.6","--","--","--","--","--","--","--","--","01:09:19","01:18:16","661","804"
Running,2022-04-13 11:17:05,false,"McKinney - Pre-Race Workout","2.27","354","00:30:00","137","169","--","146","231","13:12","10:41","59","69","0.84","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:00.00","4","0.0","--","--","--","--","--","--","--","--","00:29:59","00:30:00","707","762"
Running,2022-04-12 12:49:43,false,"McKinney - Pre-Race Workout","2.48","371","00:32:00","133","166","--","140","235","12:54","8:20","75","66","0.89","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:00.00","14","0.0","--","--","--","--","--","--","--","--","00:32:00","00:32:00","723","773"
Running,2022-04-11 15:24:54,false,"McKinney - Pre-Race Workout","2.13","335","00:28:59","143","167","--","142","237","13:35","10:48","59","59","0.84","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:08.15","5","0.0","--","--","--","--","--","--","--","--","00:28:58","00:28:59","720","766"
Cycling,2022-04-10 08:17:20,false,"McKinney Cycling","32.65","1,426","02:03:31","157","173","--","--","--","15.9","34.2","1,214","1,201","0.00","0.0","0.0","0","--","71","97","--","--","0.0","--","0","0","0.0","0.0","6816","0","0","0","--","0:00","57.2","0:00","No","02:03:30.71","1","68.0","--","--","--","--","--","--","--","--","02:02:49","02:12:56","652","871"
Running,2022-04-08 12:51:51,false,"McKinney - Easy Run","3.10","495","00:39:01","153","172","--","159","172","12:36","10:14","128","112","0.81","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:16.16","6","0.0","--","--","--","--","--","--","--","--","00:39:00","00:39:01","725","774"
Running,2022-04-06 10:31:53,false,"McKinney - Long Easy Run","2.85","439","00:39:13","130","161","--","146","231","13:46","10:41","56","72","0.80","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","04:12.03","4","0.0","--","--","--","--","--","--","--","--","00:39:12","00:43:15","684","740"
Running,2022-04-04 14:25:59,false,"McKinney - Tempo Run","2.33","360","00:30:05","139","163","--","142","245","12:55","9:27","56","39","0.88","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:04.80","4","0.0","--","--","--","--","--","--","--","--","00:29:49","00:30:05","733","772"
Cycling,2022-04-03 07:46:13,false,"McKinney Cycling","22.03","834","01:28:05","140","170","--","--","--","15.0","31.6","531","541","0.00","0.0","0.0","0","--","68","106","--","--","0.0","--","0","0","0.0","0.0","4167","0","0","0","--","0:00","53.6","0:00","No","01:28:05.32","1","64.4","--","--","--","--","--","--","--","--","01:27:31","01:38:14","427","644"
Cycling,2022-04-02 07:48:22,false,"McKinney Cycling","24.29","1,055","01:27:05","157","174","--","--","--","16.7","31.2","584","614","0.00","0.0","0.0","0","--","71","101","--","--","0.0","--","0","0","0.0","0.0","4665","0","0","0","--","0:00","46.4","0:00","No","26:31.48","2","55.4","--","--","--","--","--","--","--","--","01:26:29","01:31:25","585","814"
Yoga,2022-04-01 20:59:49,false,"Yoga","--","198","01:07:52","82","93","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","--","1","0:00","0.0","0:00","No","01:07:52.35","1","0.0","18","10","28","-23","74","51","63","79","01:07:52","01:07:52","--","--"
Running,2022-04-01 11:38:05,false,"McKinney - Easy Run","3.34","528","00:43:09","147","174","--","155","176","12:54","8:56","92","79","0.81","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:52.90","6","0.0","--","--","--","--","--","--","--","--","00:42:54","00:44:38","727","769"
Indoor Cycling,2022-03-31 10:18:40,false,"Indoor Cycling","10.09","475","00:44:29","132","157","--","--","--","13.6","17.9","--","--","0.00","0.0","0.0","0","--","74","96","--","--","0.0","--","0","0","0.0","0.0","3207","0","0","0","--","0:00","0.0","0:00","No","13:36.10","3","0.0","--","--","--","--","--","--","--","--","00:43:19","00:47:55","--","--"
Running,2022-03-30 12:08:20,false,"McKinney - Time Trial","2.67","438","00:32:16","157","180","--","152","176","12:06","8:46","66","85","0.87","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:12.19","5","0.0","--","--","--","--","--","--","--","--","00:32:15","00:32:16","709","768"
Indoor Cycling,2022-03-29 14:37:45,false,"Indoor Cycling","8.05","339","00:30:08","132","157","--","--","--","16.0","21.6","--","--","0.00","0.0","0.0","0","--","74","88","--","--","0.0","--","0","0","0.0","0.0","2215","0","0","0","--","0:00","0.0","0:00","No","00:06.19","3","0.0","--","--","--","--","--","--","--","--","00:29:24","00:31:14","--","--"
Running,2022-03-27 09:15:54,false,"McKinney - Goal Pace Repeats","3.75","582","00:45:47","149","171","--","151","196","12:12","6:24","92","112","0.88","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:16.57","11","0.0","--","--","--","--","--","--","--","--","00:45:45","00:45:56","701","778"
Running,2022-03-23 11:49:25,false,"McKinney - Long Easy Run","4.36","692","00:53:40","147","168","--","152","237","12:18","7:16","98","82","0.86","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:02.71","7","0.0","--","--","--","--","--","--","--","--","00:53:34","00:54:37","711","792"
Running,2022-03-22 15:09:02,false,"McKinney - Easy Run","2.37","364","00:30:03","134","154","--","153","172","12:39","10:01","75","66","0.84","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:03.44","5","0.0","--","--","--","--","--","--","--","--","00:30:03","00:30:03","723","771"
Indoor Cycling,2022-03-21 15:35:20,false,"Indoor Cycling","4.83","196","00:18:43","129","143","--","--","--","15.5","18.5","--","--","0.00","0.0","0.0","0","--","77","88","--","--","0.0","--","0","0","0.0","0.0","1457","0","0","0","--","0:00","0.0","0:00","No","18:42.87","1","0.0","--","--","--","--","--","--","--","--","00:18:43","00:18:43","--","--"
Indoor Cycling,2022-03-21 13:58:23,false,"Indoor Cycling","1.35","55","00:07:34.9","109","124","--","--","--","10.7","18.7","--","--","0.00","0.0","0.0","0","--","67","89","--","--","0.0","--","0","0","0.0","0.0","414","0","0","0","--","0:00","0.0","0:00","No","07:34.87","1","0.0","--","--","--","--","--","--","--","--","00:06:11","00:07:34.9","--","--"
Walking,2022-03-20 17:10:33,false,"Dallas Walking","0.44","102","00:17:59","102","126","--","39","159","40:53","14:45","16","59","1.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","17:58.59","1","0.0","--","--","--","--","--","--","--","--","00:10:17","00:17:59","446","473"
Running,2022-03-20 08:33:48,false,"McKinney - Goal Pace Repeats","5.89","901","01:15:52","145","173","--","149","248","12:53","7:14","138","138","0.84","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:12.28","20","0.0","--","--","--","--","--","--","--","--","01:15:32","01:15:52","693","766"
Running,2022-03-18 13:45:40,false,"McKinney - Easy Run","3.16","501","00:40:00","148","168","--","158","240","12:39","10:43","105","79","0.81","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:00.00","5","0.0","--","--","--","--","--","--","--","--","00:39:59","00:40:00","659","733"
Running,2022-03-16 12:20:34,false,"McKinney - Long Easy Run","4.42","681","01:01:30","136","164","--","145","238","13:55","9:41","102","69","0.80","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:46.42","7","0.0","--","--","--","--","--","--","--","--","01:01:27","01:01:30","711","789"
Running,2022-03-15 12:48:43,false,"McKinney - Easy Run","2.32","360","00:30:12","140","162","--","146","174","13:00","10:36","69","62","0.85","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:11.95","5","0.0","--","--","--","--","--","--","--","--","00:30:11","00:30:12","730","778"
Running,2022-03-13 13:10:54,false,"McKinney - Goal Pace Repeats","3.72","571","00:48:15","134","161","--","146","234","12:59","7:59","121","89","0.85","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:01.08","20","0.0","--","--","--","--","--","--","--","--","00:47:47","00:48:15","738","781"
Cycling,2022-03-12 11:54:04,false,"Collin County Cycling","11.79","448","00:57:21","125","165","--","--","--","12.3","28.4","492","459","0.00","0.0","0.0","0","--","70","130","--","--","0.0","--","0","0","0.0","0.0","2827","0","0","0","--","0:00","50.0","0:00","No","57:20.72","1","64.4","--","--","--","--","--","--","--","--","00:56:24","01:00:03","573","724"
Running,2022-03-11 15:47:12,false,"McKinney - Easy Run","2.45","375","00:30:03","145","169","--","156","173","12:16","9:02","59","79","0.84","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:02.93","5","0.0","--","--","--","--","--","--","--","--","00:30:02","00:30:03","717","776"
Running,2022-03-09 13:10:41,false,"McKinney - Long Easy Run","3.95","621","00:52:09","147","169","--","160","173","13:12","11:11","89","75","0.77","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:29.97","7","0.0","--","--","--","--","--","--","--","--","00:51:58","00:52:09","707","776"
Running,2022-03-08 15:43:01,false,"McKinney - Easy Run","3.06","485","00:40:00","139","156","--","156","194","13:04","10:32","79","62","0.79","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:00.00","5","0.0","--","--","--","--","--","--","--","--","00:39:51","00:40:00","738","776"
Walking,2022-03-08 15:37:31,false,"McKinney Walking","0.32","47","00:05:12.0","94","105","--","118","232","16:11","11:53","13","7","0.84","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:12.05","1","0.0","--","--","--","--","--","--","--","--","00:05:12","00:05:12.0","730","750"
Running,2022-03-04 16:37:45,false,"McKinney - Easy Run","2.14","330","00:30:34","134","161","--","140","228","14:17","10:23","69","59","0.81","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:33.55","5","0.0","--","--","--","--","--","--","--","--","00:30:17","00:30:34","728","775"
Running,2022-03-02 16:23:51,false,"McKinney - Time Trial","2.44","327","00:35:51","129","160","--","122","235","14:42","4:49","43","43","0.89","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","03:37.30","4","0.0","--","--","--","--","--","--","--","--","00:35:17","00:35:51","724","763"
Cycling,2022-03-01 18:39:38,false,"Frisco Cycling","27.41","947","01:34:10","146","171","--","--","--","17.5","30.0","400","420","0.00","0.0","0.0","0","--","79","118","--","--","0.0","--","0","0","0.0","0.0","5202","0","0","0","--","0:00","51.8","0:00","No","01:34:09.54","1","62.6","--","--","--","--","--","--","--","--","01:30:01","01:56:29","394","524"
Running,2022-03-01 10:10:38,false,"McKinney - Easy Run","3.27","537","00:39:35","154","177","--","160","234","12:05","9:33","79","56","0.84","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","04:34.90","5","0.0","--","--","--","--","--","--","--","--","00:39:22","00:39:35","721","771"
Walking,2022-03-01 10:00:13,false,"McKinney Walking","0.62","61","00:10:02","85","118","--","121","240","16:05","7:59","--","23","0.83","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","10:02.24","1","0.0","--","--","--","--","--","--","--","--","00:10:02","00:10:02","698","724"
Running,2022-02-27 12:10:50,false,"McKinney - Stride Repeats","2.21","318","00:28:34","131","155","--","146","235","12:55","6:29","66","49","0.86","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:20.00","15","0.0","--","--","--","--","--","--","--","--","00:28:34","00:28:34","732","774"
Running,2022-02-25 15:12:59,false,"McKinney - Easy Run","2.72","430","00:35:24","148","172","--","161","173","13:02","10:56","85","79","0.77","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:00.00","5","0.0","--","--","--","--","--","--","--","--","00:35:17","00:36:01","724","776"
Running,2022-02-22 09:48:25,false,"McKinney - Easy Run","2.30","360","00:30:02","145","162","--","155","211","13:04","11:11","82","75","0.80","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:01.83","5","0.0","--","--","--","--","--","--","--","--","00:29:35","00:30:02","723","779"
Running,2022-02-21 14:36:13,false,"McKinney - Goal Pace Repeats","3.82","587","00:53:28","139","170","--","136","242","14:01","7:51","141","125","0.85","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:08.30","11","0.0","--","--","--","--","--","--","--","--","00:53:27","00:53:28","726","777"
Cycling,2022-02-19 11:59:27,false,"Bentonville Cycling","3.74","300","00:50:16","106","140","--","--","--","4.5","14.8","79","262","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","50:15.61","1","0.0","--","--","--","--","--","--","--","--","00:38:55","00:50:16","424","625"
Cycling,2022-02-18 15:28:06,false,"Bentonville Cycling","0.31","35","00:05:58.5","100","117","--","--","--","3.1","13.5","--","85","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:58.50","1","0.0","--","--","--","--","--","--","--","--","00:03:13","00:05:58.5","1,058","1,148"
Running,2022-02-17 13:21:09,false,"McKinney - Long Easy Run","3.63","578","00:46:56","152","174","--","159","249","12:56","11:25","154","302","0.78","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:03.22","6","0.0","--","--","--","--","--","--","--","--","00:46:50","00:46:56","734","795"
Running,2022-02-15 11:19:20,false,"McKinney - Easy Run","2.42","384","00:33:03","148","171","--","153","226","13:39","11:33","92","79","0.78","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","03:03.11","5","0.0","--","--","--","--","--","--","--","--","00:33:03","00:33:03","734","774"
Breathwork,2022-02-14 06:10:27,false,"Coherence","--","--","00:15:34","63","80","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:04.00","177","0.0","4","2","19","-3","30","27","15","30","00:00:00","00:15:34","--","--"
Running,2022-02-13 13:40:40,false,"McKinney - Steady State Run","2.69","415","00:35:00","149","169","--","146","218","13:01","5:06","62","43","0.86","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:00.00","4","0.0","--","--","--","--","--","--","--","--","00:35:00","00:35:00","723","779"
Walking,2022-02-13 13:29:59,false,"McKinney Walking","0.59","82","00:10:02","97","107","--","117","159","17:04","14:36","7","20","0.81","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","10:01.83","1","0.0","--","--","--","--","--","--","--","--","00:10:02","00:10:02","716","738"
